week,week_start,product,warehouse,closing_stock_units
W7,2026-06-12,Wool Blend Sneaker - Charcoal,Bengaluru-DC3,640
W7,2026-06-12,Kids Comfort Shoe - Blue,Mumbai-DC2,339
W8,2026-06-19,Cloud Sneaker - Grey,Delhi-DC1,21
W8,2026-06-19,Cloud Sneaker - Black,Mumbai-DC2,773
W8,2026-06-19,Trail Runner - Olive,Delhi-DC1,673
W8,2026-06-19,Classic Slip-On - White,Bengaluru-DC3,614
W8,2026-06-19,Everyday Loafer - Tan,Delhi-DC1,388
W8,2026-06-19,Recycled Runner - Navy,Mumbai-DC2,642
W8,2026-06-19,Wool Blend Sneaker - Charcoal,Bengaluru-DC3,229
W8,2026-06-19,Kids Comfort Shoe - Blue,Mumbai-DC2,402
W9,2026-06-26,Cloud Sneaker - Grey,Delhi-DC1,13
W9,2026-06-26,Cloud Sneaker - Black,Delhi-DC1,411
W9,2026-06-26,Trail Runner - Olive,Mumbai-DC2,783
W9,2026-06-26,Classic Slip-On - White,Mumbai-DC2,745
W9,2026-06-26,Everyday Loafer - Tan,Delhi-DC1,751
W9,2026-06-26,Recycled Runner - Navy,Bengaluru-DC3,531
W9,2026-06-26,Wool Blend Sneaker - Charcoal,Mumbai-DC2,499
W9,2026-06-26,Kids Comfort Shoe - Blue,Mumbai-DC2,786
W10,2026-07-03,Cloud Sneaker - Grey,Delhi-DC1,559
W10,2026-07-03,Cloud Sneaker - Black,Bengaluru-DC3,418
W10,2026-07-03,Trail Runner - Olive,Mumbai-DC2,355
W10,2026-07-03,Classic Slip-On - White,Delhi-DC1,653
W10,2026-07-03,Everyday Loafer - Tan,Delhi-DC1,288
W10,2026-07-03,Recycled Runner - Navy,Delhi-DC1,343
W10,2026-07-03,Wool Blend Sneaker - Charcoal,Mumbai-DC2,593
W10,2026-07-03,Kids Comfort Shoe - Blue,Mumbai-DC2,639
W11,2026-07-10,Cloud Sneaker - Grey,Delhi-DC1,787
W11,2026-07-10,Cloud Sneaker - Black,Delhi-DC1,318
W11,2026-07-10,Trail Runner - Olive,Delhi-DC1,721
W11,2026-07-10,Classic Slip-On - White,Delhi-DC1,245
W11,2026-07-10,Everyday Loafer - Tan,Delhi-DC1,450
W11,2026-07-10,Recycled Runner - Navy,Mumbai-DC2,683
W11,2026-07-10,Wool Blend Sneaker - Charcoal,Delhi-DC1,592
W11,2026-07-10,Kids Comfort Shoe - Blue,Delhi-DC1,383
W12,2026-07-17,Cloud Sneaker - Grey,Delhi-DC1,378
W12,2026-07-17,Cloud Sneaker - Black,Mumbai-DC2,231
W12,2026-07-17,Trail Runner - Olive,Bengaluru-DC3,663
W12,2026-07-17,Classic Slip-On - White,Delhi-DC1,763
W12,2026-07-17,Everyday Loafer - Tan,Mumbai-DC2,296
W12,2026-07-17,Recycled Runner - Navy,Delhi-DC1,304
W12,2026-07-17,Wool Blend Sneaker - Charcoal,Delhi-DC1,324
W12,2026-07-17,Kids Comfort Shoe - Blue,Delhi-DC1,263
